name,source,url,category,abv,price,quantity,single_vol,total_vol,ml_per_dollar,alcohol_vol,alc_per_dollar
Goose Island Honkers,The Beer Store,http://www.thebeerstore.ca/beers/goose-island-honkers-ale,Ale,4.3,17.5,6,473,2838,162.17,122,6.97
Goose Island Honkers,The Beer Store,http://www.thebeerstore.ca/beers/goose-island-honkers-ale,Ale,4.3,33.55,12,473,5676,169.18,244,7.27
Goose Island Honkers,The Beer Store,http://www.thebeerstore.ca/beers/goose-island-honkers-ale,Ale,4.3,65.95,24,473,11352,172.13,488,7.4
Goose Island Honkers,The Beer Store,http://www.thebeerstore.ca/beers/goose-island-honkers-ale,Ale,4.3,26.75,12,341,4092,152.97,175,6.58
Goose Island Honkers,The Beer Store,http://www.thebeerstore.ca/beers/goose-island-honkers-ale,Ale,4.3,48.95,24,341,8184,167.19,351,7.19
Goose Island Honkers,The Beer Store,http://www.thebeerstore.ca/beers/goose-island-honkers-ale,Ale,4.3,315.25,1,58600,58600,185.88,2519,7.99
Goose Island IPA ,The Beer Store,http://www.thebeerstore.ca/beers/goose-island-ipa,Ale,5.9,3.15,1,473,473,150.16,27,8.86
Goose Island IPA ,The Beer Store,http://www.thebeerstore.ca/beers/goose-island-ipa,Ale,5.9,17.5,6,473,2838,162.17,167,9.57
Goose Island IPA ,The Beer Store,http://www.thebeerstore.ca/beers/goose-island-ipa,Ale,5.9,33.55,12,473,5676,169.18,334,9.98
Goose Island IPA ,The Beer Store,http://www.thebeerstore.ca/beers/goose-island-ipa,Ale,5.9,65.95,24,473,11352,172.13,669,10.16
Goose Island IPA ,The Beer Store,http://www.thebeerstore.ca/beers/goose-island-ipa,Ale,5.9,26.75,12,341,4092,152.97,241,9.03
Goose Island IPA ,The Beer Store,http://www.thebeerstore.ca/beers/goose-island-ipa,Ale,5.9,48.95,24,341,8184,167.19,482,9.86
Goose Island IPA ,The Beer Store,http://www.thebeerstore.ca/beers/goose-island-ipa,Ale,5.9,315.25,1,58600,58600,185.88,3457,10.97
Goose Island Rambler,The Beer Store,http://www.thebeerstore.ca/beers/goose-island-rambler,Ale,6.7,3.15,1,473,473,150.16,31,10.06
Goose Island Rambler,The Beer Store,http://www.thebeerstore.ca/beers/goose-island-rambler,Ale,6.7,17.5,6,473,2838,162.17,190,10.87
Goose Island Rambler,The Beer Store,http://www.thebeerstore.ca/beers/goose-island-rambler,Ale,6.7,33.55,12,473,5676,169.18,380,11.34
Goose Island Rambler,The Beer Store,http://www.thebeerstore.ca/beers/goose-island-rambler,Ale,6.7,65.95,24,473,11352,172.13,760,11.53
Goose Island Rambler,The Beer Store,http://www.thebeerstore.ca/beers/goose-island-rambler,Ale,6.7,125.95,1,20000,20000,158.79,1340,10.64
Grand River Red Tail,The Beer Store,http://www.thebeerstore.ca/beers/grand-river-red-tail,Ale,5.2,3.1,1,473,473,152.58,24,7.93
Grand River Red Tail,The Beer Store,http://www.thebeerstore.ca/beers/grand-river-red-tail,Ale,5.2,17.95,6,473,2838,158.11,147,8.22
Grand River Red Tail,The Beer Store,http://www.thebeerstore.ca/beers/grand-river-red-tail,Ale,5.2,33.95,12,473,5676,167.19,295,8.69
Grand River Red Tail,The Beer Store,http://www.thebeerstore.ca/beers/grand-river-red-tail,Ale,5.2,65.95,24,473,11352,172.13,590,8.95
